objectid,parentid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
clt006a,clt006,"The Grotesques Shadow Magic program, Chicago Little Theatre, 1915",Beryl Hight; Arthur Hight; Cloyd Head; Maurice Brown; Ellen Van Volkenburg,1915,Historic program from the Chicago Little Theatre's fourth season in which The Hindu Gods by Beryl and Arthur Hight and The Grotesques by Cloyd Head were performed,announcement,Chicago Little Theatre,41.87640221,-87.62453743,"Chicago and the Midwest, Newberry Library",,Image;StillImage,image/jpeg,eng,"Public domain, Accessed at <a href=""https://collections.carli.illinois.edu/digital/collection/nby_chicago/id/8224/rec/1"">the Newberry Library</a>","The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions",image,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/8222/default.jpg,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/8222/default.jpg,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/8222/default.jpg,,
clt006b,clt006,"The Grotesques Shadow Magic program, Chicago Little Theatre, 1915",Beryl Hight; Arthur Hight; Cloyd Head; Maurice Brown; Ellen Van Volkenburg,1915,Historic program from the Chicago Little Theatre's fourth season in which The Hindu Gods by Beryl and Arthur Hight and The Grotesques by Cloyd Head were performed,announcement,Chicago Little Theatre,41.87640221,-87.62453743,"Chicago and the Midwest, Newberry Library",,Image;StillImage,image/jpeg,eng,"Public domain, Accessed at <a href=""https://collections.carli.illinois.edu/digital/collection/nby_chicago/id/8224/rec/1"">the Newberry Library</a>","The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions",image,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/8223/default.jpg,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/8223/default.jpg,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/8223/default.jpg,,
clt007,,John Ferguson,St. John Irvine,1915,Full script of John Ferguson by St. John Irvine,postcard playbill,"Dublin, Ireland",53.35,-6.260278,Internet Archive; Cornell University,,Text,application/pdf,eng,"Public domain; Original record can be found at the <a href=""https://archive.org/details/colombinefantasy00arke"">Internet Archive</a>",This work is in the Public Domain,pdf,objects/columbine.pdf,objects/columbine.pdf,objects/columbine.pdf,,
clt008,,Columbine,Reginald Arkell,1913,Full script of Columbine by Reginald Arkell,postcard playbill,"London, United Kingdom",51.52604,0.103475,Internet Archive; University of California,,Text,application/pdf,,"Public domain; Original record can be found at the <a href=""https://archive.org/details/cu31924013610591"">Internet Archive</a>",This work is in the Public Domain,pdf,ojects/John_Ferguson.pdf,objects/columbine.pdf,objects/columbine.pdf,,
clt009,,"Fine Arts Theatre, Alice in Wonderland (February 11, 1915)",Alice Gerstenberg; W. H. Gilmore,1915,"Historic Program from Player's Producing Company in which Alice in Wonderland, an adaptation by Alice Gersentberg was performed",program,Player's Producing Company,41.87640221,-87.62453743,"Chicago Theater Collection-Historic Programs, Chicago Public Library",,Image;StillImage,application/pdf,eng,"Public domain, Accessed at <a href=""https://cdm16818.contentdm.oclc.org/digital/collection/CPB01/id/2545/rec/4"">the Chicago Public Library</a>",http://rightsstatements.org/vocab/NKC/1.0/,pdf,objects/alice_program.pdf,https://cdm16818.contentdm.oclc.org/digital/api/singleitem/image/CPB01/2545/default.jpg,https://cdm16818.contentdm.oclc.org/digital/api/singleitem/image/CPB01/2545/default.jpg,,
clt010,,The Players' Workshop is an experimental theatre,Alice Gerstenberg,1903,Information card about the Players's Workshop created by Alice Gerstenberg,program,The Players' Workshop,41.79259355,-87.58735713,"Chicago and the Midwest, Newberry Library",,Image;StillImage,image/jpeg,,"Public domain, Accessed at <a href=""https://collections.carli.illinois.edu/digital/collection/nby_chicago/id/5598/rec/1"">the Newberry Library</a>","The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions",image,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/5598/default.jpg,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/5598/default.jpg,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/5598/default.jpg,,
clt011,,Illustration for Production: The Grotesques,Cloyd Head,1915,Illustration for the Chicago Little Theatre's fourth season production: The Grotesques by Cloyd Head,playbill,Chicago Little Theatre,41.87640221,-87.62453743,"Chicago and the Midwest, Newberry Library",,Image;StillImage,image/jpeg,,"Public domain, Accessed at <a href=""https://collections.carli.illinois.edu/digital/collection/nby_chicago/id/5461/rec/1"">the Newberry Library</a>","The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions",image,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/5461/default.jpg?highlightTerms=Cloyd%20Head%20papers,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/5461/default.jpg?highlightTerms=Cloyd%20Head%20papers,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/5461/default.jpg?highlightTerms=Cloyd%20Head%20papers,,
clt012,,Illustration for Production: The Grotesques,Cloyd Head,1915,Illustration for the Chicago Little Theatre's fourth season production: The Grotesques by Cloyd Head,announcement,Chicago Little Theatre,41.87640221,-87.62453743,"Chicago and the Midwest, Newberry Library",,Image;StillImage,image/jpeg,,"Public domain, Accessed at <a href=""https://collections.carli.illinois.edu/digital/collection/nby_chicago/id/5812/rec/2"">the Newberry Library</a>","The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions",image,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/5812/default.jpg?highlightTerms=Cloyd%20Head%20papers,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/5812/default.jpg?highlightTerms=Cloyd%20Head%20papers,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/5812/default.jpg?highlightTerms=Cloyd%20Head%20papers,,
clt013,,Illustration for Production: The Grotesques,Cloyd Head,1915,Illustration for the Chicago Little Theatre's fourth season production: The Grotesques by Cloyd Head,postcard playbill,Chicago Little Theatre,41.87640221,-87.62453743,"Chicago and the Midwest, Newberry Library",,Image;StillImage,image/jpeg,,"Public domain, Accessed at <a href=""https://collections.carli.illinois.edu/digital/collection/nby_chicago/id/5666/rec/6"">the Newberry Library</a>","The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions",image,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/5666/default.jpg?highlightTerms=Cloyd%20Head%20papers,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/5666/default.jpg?highlightTerms=Cloyd%20Head%20papers,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/5666/default.jpg?highlightTerms=Cloyd%20Head%20papers,,
clt014,,"Performer in Cloyd Head's The Grotesques: A Decoration in Black and White, 1915",Cloyd Head,1915,Photograph of performer for the Chicago Little Theatre's fourth season production: The Grotesques by Cloyd Head,program,Chicago Little Theatre,41.87640221,-87.62453743,"Chicago and the Midwest, Newberry Library",,Image;StillImage,image/jpeg,,"Public domain, Accessed at <a href=""https://collections.carli.illinois.edu/digital/collection/nby_chicago/id/5557/rec/3"">the Newberry Library</a>","The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions",image,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/5557/default.jpg?highlightTerms=Cloyd%20Head%20papers,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/5557/default.jpg?highlightTerms=Cloyd%20Head%20papers,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/5557/default.jpg?highlightTerms=Cloyd%20Head%20papers,,
clt015,,Women Plan Peace Drama,Chicago Daily Tribune,1915,"Newspaper clipping announcing the Chicago Little Theatre's tour for ""The Trojan Women"" by Euripedes produced with the help of the Hull House",,Chicago Tribune,41.89698226,87.64560148,"Chicago and the Midwest, Newberry Library",,Image;StillImage,image/jpeg,,"Public domain, Accessed at <a href=""https://collections.carli.illinois.edu/digital/collection/nby_chicago/id/5554/rec/4"">the Newberry Library</a>","The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions",image,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/5554/default.jpg?highlightTerms=Cloyd%20Head%20papers,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/5554/default.jpg?highlightTerms=Cloyd%20Head%20papers,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/5554/default.jpg?highlightTerms=Cloyd%20Head%20papers,,
clt016,,"The World's Greatest Peace Play The Trojan Women of Evripides, 1915",Chicago Little Theatre,1915,"Playbill for Chicago Little Theatre's tour for ""The Trojan Women"" by Euripedes",,Chicago Little Theatre,41.87640221,-87.62453743,"Chicago and the Midwest, Newberry Library",,Image;StillImage,image/jpeg,,"Public domain, Accessed at <a href=""https://collections.carli.illinois.edu/digital/collection/nby_chicago/id/5446/rec/5"">the Newberry Library</a>","The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions",image,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/5446/default.jpg?highlightTerms=Cloyd%20Head%20papers,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/5446/default.jpg?highlightTerms=Cloyd%20Head%20papers,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/5446/default.jpg?highlightTerms=Cloyd%20Head%20papers,,
